epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,67.7124,0.93927,1.66586,1.38607,0.68056,0.66667,0.71115,0.44806,1.58277,1.57761,1.35176,2.82082e-05,2.82082e-05,2.82082e-05
40,69.3679,0.57204,0.90032,1.01732,0.68056,0.66667,0.71115,0.44806,1.58277,1.57761,1.35176,2.84911e-05,2.84911e-05,2.84911e-05
41,71.1285,0.81338,1.19436,1.14355,0.69201,0.65827,0.69737,0.43678,1.63095,1.61037,1.37538,2.87504e-05,2.87504e-05,2.87504e-05
42,72.8044,0.97611,1.23706,1.22176,0.69201,0.65827,0.69737,0.43678,1.63095,1.61037,1.37538,2.89861e-05,2.89861e-05,2.89861e-05
43,74.5522,0.64826,0.74355,1.25363,0.71703,0.56667,0.67326,0.41751,1.66673,1.64182,1.39237,2.91983e-05,2.91983e-05,2.91983e-05
44,76.3943,0.87746,1.3861,1.20817,0.71703,0.56667,0.67326,0.41751,1.66673,1.64182,1.39237,2.93869e-05,2.93869e-05,2.93869e-05
45,78.2322,0.80071,0.96457,1.10192,0.73516,0.56667,0.66882,0.40729,1.65673,1.67802,1.3921,2.9552e-05,2.9552e-05,2.9552e-05
46,79.906,0.74259,0.86634,1.11418,0.73516,0.56667,0.66882,0.40729,1.65673,1.67802,1.3921,2.96935e-05,2.96935e-05,2.96935e-05
47,81.6414,1.10674,1.50827,1.34885,0.67359,0.68333,0.65079,0.41924,1.6164,1.73341,1.37805,2.98114e-05,2.98114e-05,2.98114e-05
48,83.3052,0.93419,1.101,1.36791,0.67359,0.68333,0.65079,0.41924,1.6164,1.73341,1.37805,2.99058e-05,2.99058e-05,2.99058e-05
49,85.0268,0.66843,0.88248,1.11494,0.75313,0.50352,0.65117,0.43704,1.67808,1.80087,1.41027,2.99766e-05,2.99766e-05,2.99766e-05
50,86.7734,0.81824,1.26777,1.16027,0.75313,0.50352,0.65117,0.43704,1.67808,1.80087,1.41027,3.00238e-05,3.00238e-05,3.00238e-05
51,88.4817,0.6704,0.68027,1.14512,0.74976,0.42667,0.51912,0.33705,1.62887,1.87704,1.39345,3.00475e-05,3.00475e-05,3.00475e-05
52,90.1486,0.75626,0.92133,1.10278,0.74976,0.42667,0.51912,0.33705,1.62887,1.87704,1.39345,3.00476e-05,3.00476e-05,3.00476e-05
53,91.8427,0.93692,1.15233,1.22962,0.74976,0.42667,0.51912,0.33705,1.62887,1.87704,1.39345,3.00242e-05,3.00242e-05,3.00242e-05
54,93.5969,0.80602,0.89877,1.24258,0.74266,0.43333,0.51467,0.33146,1.65557,1.86952,1.3959,2.99772e-05,2.99772e-05,2.99772e-05
55,95.3117,0.80901,0.84868,1.21527,0.74266,0.43333,0.51467,0.33146,1.65557,1.86952,1.3959,2.99066e-05,2.99066e-05,2.99066e-05
56,97.063,1.07781,1.15257,1.42353,0.74266,0.43333,0.51467,0.33146,1.65557,1.86952,1.3959,2.98125e-05,2.98125e-05,2.98125e-05
57,98.8639,0.85863,0.94697,1.1699,0.83992,0.46676,0.53056,0.32614,1.66811,1.92737,1.39982,2.96948e-05,2.96948e-05,2.96948e-05
58,100.588,0.71194,1.23137,1.05477,0.83992,0.46676,0.53056,0.32614,1.66811,1.92737,1.39982,2.95535e-05,2.95535e-05,2.95535e-05
59,102.3,0.63896,0.78795,1.15384,0.83992,0.46676,0.53056,0.32614,1.66811,1.92737,1.39982,2.93887e-05,2.93887e-05,2.93887e-05
60,104.037,0.69663,0.93284,1.04252,0.83528,0.47478,0.52262,0.32724,1.69191,1.93606,1.40895,2.92003e-05,2.92003e-05,2.92003e-05
61,105.773,0.92805,1.36553,1.37251,0.83528,0.47478,0.52262,0.32724,1.69191,1.93606,1.40895,2.89884e-05,2.89884e-05,2.89884e-05
62,107.461,0.62012,0.74691,1.08663,0.83528,0.47478,0.52262,0.32724,1.69191,1.93606,1.40895,2.87529e-05,2.87529e-05,2.87529e-05
63,109.323,0.74753,0.96721,1.118,0.83104,0.4775,0.52004,0.29839,1.71648,1.95801,1.41969,2.84938e-05,2.84938e-05,2.84938e-05
64,111.115,0.66119,0.74448,1.05534,0.83104,0.4775,0.52004,0.29839,1.71648,1.95801,1.41969,2.82112e-05,2.82112e-05,2.82112e-05
65,112.964,0.81732,0.76005,1.30557,0.83104,0.4775,0.52004,0.29839,1.71648,1.95801,1.41969,2.7905e-05,2.7905e-05,2.7905e-05
66,114.68,0.76309,0.74053,1.099,0.82769,0.47186,0.51895,0.30282,1.70557,1.97608,1.41543,2.75753e-05,2.75753e-05,2.75753e-05
67,116.407,0.89342,2.12924,1.20048,0.82769,0.47186,0.51895,0.30282,1.70557,1.97608,1.41543,2.7222e-05,2.7222e-05,2.7222e-05
68,118.092,0.70433,0.83388,1.11518,0.82769,0.47186,0.51895,0.30282,1.70557,1.97608,1.41543,2.68451e-05,2.68451e-05,2.68451e-05
69,119.821,0.85971,1.10861,1.26717,0.82408,0.47491,0.51279,0.27764,1.7466,2.03378,1.43824,2.64447e-05,2.64447e-05,2.64447e-05
70,121.53,0.96043,0.89306,1.27856,0.82408,0.47491,0.51279,0.27764,1.7466,2.03378,1.43824,2.60207e-05,2.60207e-05,2.60207e-05
71,123.208,1.08118,1.48778,1.42919,0.82408,0.47491,0.51279,0.27764,1.7466,2.03378,1.43824,2.55731e-05,2.55731e-05,2.55731e-05
72,124.935,0.62895,0.80061,1.22719,0.82202,0.47893,0.52185,0.27875,1.78093,2.02463,1.46201,2.5102e-05,2.5102e-05,2.5102e-05
73,126.609,0.9272,1.07354,1.44721,0.82202,0.47893,0.52185,0.27875,1.78093,2.02463,1.46201,2.46073e-05,2.46073e-05,2.46073e-05
74,128.286,0.81174,0.65022,1.39672,0.82202,0.47893,0.52185,0.27875,1.78093,2.02463,1.46201,2.40891e-05,2.40891e-05,2.40891e-05
75,129.991,0.81997,0.93144,1.33125,0.82078,0.48047,0.51326,0.28176,1.73203,2.08737,1.44423,2.35472e-05,2.35472e-05,2.35472e-05
76,131.658,0.91877,1.27593,1.36557,0.82078,0.48047,0.51326,0.28176,1.73203,2.08737,1.44423,2.29819e-05,2.29819e-05,2.29819e-05
77,133.336,0.98621,1.18262,1.40182,0.82078,0.48047,0.51326,0.28176,1.73203,2.08737,1.44423,2.23929e-05,2.23929e-05,2.23929e-05
78,135.1,0.68816,0.83749,1.10084,0.81635,0.47933,0.52159,0.28393,1.74627,2.10578,1.46677,2.17805e-05,2.17805e-05,2.17805e-05
79,136.778,0.75703,0.80705,1.25419,0.81635,0.47933,0.52159,0.28393,1.74627,2.10578,1.46677,2.11444e-05,2.11444e-05,2.11444e-05
80,138.473,0.67548,0.72338,1.13198,0.81635,0.47933,0.52159,0.28393,1.74627,2.10578,1.46677,2.04848e-05,2.04848e-05,2.04848e-05
81,140.205,0.73849,0.77372,1.10967,0.81552,0.47663,0.52093,0.27017,1.74903,2.11312,1.46918,1.98016e-05,1.98016e-05,1.98016e-05
82,142.081,0.7879,1.04492,1.19849,0.81552,0.47663,0.52093,0.27017,1.74903,2.11312,1.46918,1.90949e-05,1.90949e-05,1.90949e-05
83,144.251,0.71194,0.6846,1.03432,0.81552,0.47663,0.52093,0.27017,1.74903,2.11312,1.46918,1.83646e-05,1.83646e-05,1.83646e-05
84,146.297,0.91221,1.29283,1.17338,0.81886,0.47656,0.52018,0.26412,1.82007,2.18947,1.51787,1.76107e-05,1.76107e-05,1.76107e-05
85,148.101,0.607,0.62874,1.00223,0.81886,0.47656,0.52018,0.26412,1.82007,2.18947,1.51787,1.68333e-05,1.68333e-05,1.68333e-05
86,149.922,0.79814,1.022,1.16,0.81886,0.47656,0.52018,0.26412,1.82007,2.18947,1.51787,1.60323e-05,1.60323e-05,1.60323e-05
87,151.87,0.65295,0.70555,1.07357,0.81886,0.47656,0.52018,0.26412,1.82007,2.18947,1.51787,1.52077e-05,1.52077e-05,1.52077e-05
88,153.846,0.92028,0.82084,1.33607,0.81849,0.47767,0.51882,0.24978,1.82424,2.24756,1.55128,1.43596e-05,1.43596e-05,1.43596e-05
89,155.819,0.78305,1.04156,1.15609,0.81849,0.47767,0.51882,0.24978,1.82424,2.24756,1.55128,1.34879e-05,1.34879e-05,1.34879e-05
90,157.781,0.93617,0.62315,1.38221,0.81849,0.47767,0.51882,0.24978,1.82424,2.24756,1.55128,1.25927e-05,1.25927e-05,1.25927e-05
91,159.731,0.46877,0.54057,0.99517,0.81849,0.47767,0.51882,0.24978,1.82424,2.24756,1.55128,1.16739e-05,1.16739e-05,1.16739e-05
92,161.797,0.46847,0.46991,0.88882,0.81564,0.48156,0.51917,0.26119,1.77146,2.15088,1.49276,1.07315e-05,1.07315e-05,1.07315e-05
93,163.681,0.49532,0.47415,0.95764,0.81564,0.48156,0.51917,0.26119,1.77146,2.15088,1.49276,9.76562e-06,9.76562e-06,9.76562e-06
94,165.688,0.45824,0.46914,0.87744,0.81564,0.48156,0.51917,0.26119,1.77146,2.15088,1.49276,8.77613e-06,8.77613e-06,8.77613e-06
95,167.499,0.57263,0.5164,1.11899,0.81564,0.48156,0.51917,0.26119,1.77146,2.15088,1.49276,7.76308e-06,7.76308e-06,7.76308e-06
96,169.359,0.60769,0.52988,1.03809,0.79774,0.48457,0.51923,0.26504,1.79391,2.0922,1.47662,6.72648e-06,6.72648e-06,6.72648e-06
97,171.359,0.50725,0.54896,0.98839,0.79774,0.48457,0.51923,0.26504,1.79391,2.0922,1.47662,5.6663e-06,5.6663e-06,5.6663e-06
98,173.281,0.55634,0.61738,1.01932,0.79774,0.48457,0.51923,0.26504,1.79391,2.0922,1.47662,4.58257e-06,4.58257e-06,4.58257e-06
99,175.242,0.47397,0.54473,0.87091,0.79774,0.48457,0.51923,0.26504,1.79391,2.0922,1.47662,3.47528e-06,3.47528e-06,3.47528e-06
100,177.209,0.49818,0.50299,0.90212,0.8052,0.48502,0.51529,0.29789,1.82519,1.92751,1.46511,2.34442e-06,2.34442e-06,2.34442e-06
